ICD_CODE,LONG_DESCRIPTION,CHARLSON_GROUP
E13.61,Other specified diabetes mellitus with specified diabetic musculoskeletal and connective tissue complication,DIABETES
E13.62,Other specified diabetes mellitus with specified skin and subcutaneous tissue complication,DIABETES
E13.63,Other specified diabetes mellitus with specified periodontal complication,DIABETES
E13.71,Other specified diabetes mellitus with multiple microvascular and other specified nonvascular complications,DIABETES_COMPLICATIONS
E14.01,"Unspecified diabetes mellitus with hyperosmolarity, without nonketotic hyperglycaemic-hyperosmolar coma [NKHHC]",DIABETES
E14.11,"Unspecified diabetes mellitus with ketoacidosis, without coma",DIABETES
E14.21,Unspecified diabetes mellitus with incipient diabetic nephropathy,DIABETES_COMPLICATIONS
E14.31,Unspecified diabetes mellitus with background retinopathy,DIABETES_COMPLICATIONS
E14.40,Unspecified diabetes mellitus with unspecified neuropathy,DIABETES_COMPLICATIONS
E14.41,Unspecified diabetes mellitus with diabetic mononeuropathy,DIABETES_COMPLICATIONS
E14.51,"Unspecified diabetes mellitus with peripheral angiopathy, without gangrene",DIABETES_COMPLICATIONS
E14.61,Unspecified diabetes mellitus with specified diabetic musculoskeletal and connective tissue complication,DIABETES
E14.62,Unspecified diabetes mellitus with specified skin and subcutaneous tissue complication,DIABETES
E14.63,Unspecified diabetes mellitus with specified periodontal complication,DIABETES
E14.71,Unspecified diabetes mellitus with multiple microvascular and other specified nonvascular complications,DIABETES_COMPLICATIONS
M05.1,Rheumatoid lung disease,RHEUMATOLOGIC_DISEASE
M05.10,"Rheumatoid lung disease, multiple sites",RHEUMATOLOGIC_DISEASE
M05.11,"Rheumatoid lung disease, shoulder region",RHEUMATOLOGIC_DISEASE
M05.12,"Rheumatoid lung disease, upper arm",RHEUMATOLOGIC_DISEASE
M05.13,"Rheumatoid lung disease, forearm",RHEUMATOLOGIC_DISEASE
M05.14,"Rheumatoid lung disease, hand",RHEUMATOLOGIC_DISEASE
M05.15,"Rheumatoid lung disease, pelvic region and thigh",RHEUMATOLOGIC_DISEASE
M05.16,"Rheumatoid lung disease, lower leg",RHEUMATOLOGIC_DISEASE
M05.17,"Rheumatoid lung disease, ankle and foot",RHEUMATOLOGIC_DISEASE
M05.18,"Rheumatoid lung disease, other site",RHEUMATOLOGIC_DISEASE
M05.19,"Rheumatoid lung disease, site unspecified",RHEUMATOLOGIC_DISEASE
E10.02,Type 1 diabetes mellitus with hyperosmolarity with coma,DIABETES
N18.1,"Chronic kidney disease, stage 1",RENAL_DISEASE
N18.2,"Chronic kidney disease, stage 2",RENAL_DISEASE
N18.3,"Chronic kidney disease, stage 3",RENAL_DISEASE
N18.4,"Chronic kidney disease, stage 4",RENAL_DISEASE
N18.5,"Chronic kidney disease, stage 5",RENAL_DISEASE
C79.9,"Secondary malignant neoplasm, unspecified site",METASTATIC_CANCER
C80.0,"Malignant neoplasm, primary site unknown, so stated",METASTATIC_CANCER
C80.9,"Malignant neoplasm, primary site unspecified",METASTATIC_CANCER
C81.4,Lymphocyte-rich (classical) Hodgkin lymphoma,CANCER
C82.3,Follicular lymphoma grade 3a,CANCER
C82.4,Follicular lymphoma grade 3b,CANCER
C82.5,Diffuse follicle centre lymphoma,CANCER
C82.6,Cutaneous follicle centre lymphoma,CANCER
C84.6,"Anaplastic large cell lymphoma, ALK-positive",CANCER
C84.7,"Anaplastic large cell lymphoma, ALK-negative",CANCER
C84.8,"Cutaneous T-cell lymphoma, unspecified",CANCER
C84.9,"Mature T/NK-cell lymphoma, unspecified",CANCER
C85.2,Mediastinal (thymic) large B-cell lymphoma,CANCER
C88.40,"Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma], without mention of remission",CANCER
C88.41,"Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma], in remission",CANCER
C90.30,"Solitary plasmacytoma, without mention of remission",CANCER
C90.31,"Solitary plasmacytoma, in remission",CANCER
C91.60,"Prolymphocytic leukaemia of T-cell type, without mention of remission",CANCER
C91.61,"Prolymphocytic leukaemia of T-cell type, in remission",CANCER
C91.80,"Mature B-cell leukaemia Burkitt-type, without mention of remission",CANCER
C91.81,"Mature B-cell leukaemia Burkitt-type, in remission",CANCER
C92.60,"Acute myeloid leukaemia with 11q23-abnormality, without mention of remission",CANCER
C92.61,"Acute myeloid leukaemia with 11q23-abnormality, in remission",CANCER
C92.80,"Acute myeloid leukaemia with multilineage dysplasia, without mention of remission",CANCER
C92.81,"Acute myeloid leukaemia with multilineage dysplasia, in remission",CANCER
C93.30,"Juvenile myelomonocytic leukaemia, without mention of remission",CANCER
C93.31,"Juvenile myelomonocytic leukaemia, in remission",CANCER
C94.60,"Myelodysplastic and myeloproliferative disease, not elsewhere classified, without mention of remission",CANCER
C94.61,"Myelodysplastic and myeloproliferative disease, not elsewhere classified, in remission",CANCER
C96.4,Sarcoma of dendritic cells (accessory cells),CANCER
C96.5,Multifocal and unisystemic Langerhans-cell histiocytosis,CANCER
C96.6,Unifocal Langerhans-cell histiocytosis,CANCER
C96.8,Histiocytic sarcoma,CANCER
C69.7,Malignant neoplasm of other specified parts of eye,CANCER
C76.31,Malignant neoplasm of male pelvic organs,CANCER
C76.32,Malignant neoplasm of female pelvic organs,CANCER
C76.39,"Malignant neoplasm of pelvic organs, not elsewhere classified",CANCER
C79.83,Secondary malignant neoplasm of male genital organs,METASTATIC_CANCER
C79.84,Secondary malignant neoplasm of female genital organs,METASTATIC_CANCER
F00.00,"Dementia in Alzheimer's disease with early onset, without mention of psychological or behavioural disturbance (G30.0+)",DEMENTIA
F00.01,"Dementia in Alzheimer's disease with early onset, with psychological or behavioural disturbance (G30.0+)",DEMENTIA
F00.10,"Dementia in Alzheimer's disease with late onset, without mention of psychological or behavioural disturbance (G30.0+)",DEMENTIA
F00.11,"Dementia in Alzheimer's disease with late onset, with psychological or behavioural disturbance (G30.0+)",DEMENTIA
F00.20,"Dementia in Alzheimer's disease, atypical or mixed type, without mention of psychological or behavioural disturbance (G30.8+)",DEMENTIA
F00.21,"Dementia in Alzheimer's disease, atypical or mixed type, with psychological or behavioural disturbance (G30.8+)",DEMENTIA
F00.90,"Dementia in Alzheimer's disease, unspecified, without mention of psychological or behavioural disturbance (G30.9+)",DEMENTIA
F00.91,"Dementia in Alzheimer's disease, unspecified, with psychological or behavioural disturbance (G30.9+)",DEMENTIA
F01.00,"Vascular dementia of acute onset, without mention of psychological or behavioural disturbance",DEMENTIA
F01.01,"Vascular dementia of acute onset, with psychological or behavioural disturbance",DEMENTIA
F01.10,"Multi-infarct dementia, without mention of psychological or behavioural disturbance",DEMENTIA
F01.11,"Multi-infarct dementia, with psychological or behavioural disturbance",DEMENTIA
F01.20,"Subcortical vascular dementia, without mention of psychological or behavioural disturbance",DEMENTIA
F01.21,"Subcortical vascular dementia, with psychological or behavioural disturbance",DEMENTIA
F01.30,"Mixed cortical and subcortical vascular dementia, without mention of psychological or behavioural disturbance",DEMENTIA
F01.31,"Mixed cortical and subcortical vascular dementia, with psychological or behavioural disturbance",DEMENTIA
F01.80,"Other vascular dementia, without mention of psychological or behavioural disturbance",DEMENTIA
F01.81,"Other vascular dementia, with psychological or behavioural disturbance",DEMENTIA
F01.90,"Vascular dementia, unspecified, without mention of psychological or behavioural disturbance",DEMENTIA
F01.91,"Vascular dementia, unspecified, with psychological or behavioural disturbance",DEMENTIA
F02.00,"Dementia in Pick's disease, without mention of psychological or behavioural disturbance (G31.0+)",DEMENTIA
F02.01,"Dementia in Pick's disease, with psychological or behavioural disturbance (G31.0+)",DEMENTIA
F02.10,"Dementia in Creutzfeldt-Jakob disease, without mention of psychological or behavioural disturbance (A81.0+)",DEMENTIA
F02.11,"Dementia in Creutzfeldt-Jakob disease, with psychological or behavioural disturbance (A81.0+)",DEMENTIA
F02.20,"Dementia in Huntington's disease, without mention of psychological or behavioural disturbance (G10+)",DEMENTIA
F02.21,"Dementia in Huntington's disease, with psychological or behavioural disturbance (G10+)",DEMENTIA
F02.30,"Dementia in Parkinson's disease, without mention of psychological or behavioural disturbance (G20+)",DEMENTIA
F02.31,"Dementia in Parkinson's disease, with psychological or behavioural disturbance (G20+)",DEMENTIA
F02.40,"Dementia in human immunodeficiency virus [HIV] disease, without mention of psychological or behavioural disturbance (B22+)",DEMENTIA
F02.41,"Dementia in human immunodeficiency virus [HIV] disease, with psychological or behavioural disturbance (B22+)",DEMENTIA
F02.80,"Dementia in other specified diseases classified elsewhere, without mention of psychological or behavioural disturbance",DEMENTIA
F02.81,"Dementia in other specified diseases classified elsewhere, with psychological or behavioural disturbance",DEMENTIA
F03.00,"Unspecified dementia, without mention of psychological or behavioural disturbance",DEMENTIA
F03.01,"Unspecified dementia, with psychological or behavioural disturbance",DEMENTIA
J41.2,Protracted bacterial bronchitis,PULMONARY_DISEASE
